section,completed
2.1.1,Yes login
2.1.2,Yes registration
2.1.3,Yes error pop up

2.2.1,Yes viewing a list of channels
2.2.2,Yes creating a new channel
2.2.3,Yes viewing and editing channel details
    - when leaving channel, UI is reset and user must click the channel again to load channel

2.3.1,Yes viewing channel messages
2.3.2,Yes message pagination
    - arrow buttons on top
2.3.3,Yes sending messages
    - this and other features can be accessed by clicking the actual text messages
2.3.4,Yes deleting messages
2.3.5,Yes editing messages
2.3.6,Yes reacting to messages
2.3.7,Yes pinning messages

2.4.1,Yes Inviting Users to a channel
    - triggered with the top blue person icon
2.4.2,Yes User profiles
2.4.3,Yes Viewing and editing users own profile

2.5.1,NO
2.5.2,NO

2.6.1,NO
2.6.2,NO

2.7.1,NO
2.7.2,NO
